CHARACTER	KARLGREN	KARLGRENCODE	XIESHENG	PINYIN	MCH
皆	0599	a	皆	jiē	keaj
皇	0708	a	𦤃	huáng	hwang
皋	1040	b	夲	gāo	kaw
皎	1166	y	交	jiǎo	kewX
皐	1040	a	夲	gāo	kaw
皓	1039	h	告	hào	kawX
皙	0857	d	析	xī	sek
皜	1129	d	?	hào	kawX
皞	1040	g	?	hào	hawX
皟	0868	r	?	zé	tsrheak
皡	1040	f	?	hào	hawX
皤	0195	r	番	pó	ba
皦	1162	b	敫	jiǎo	kewX
皫	1170	f	?	piǎo	phjewX
皮	0025	a	爲	pí	bje
皯	0139	h	干	gǎn	kanX
皺	0132	-	芻	zhòu	tsrjuw
皽	0148	h	?	zhāo	trjenX
皽	0148	h	?	zhāo	tsyenX
皿	0761	a	皿	mǐn	mjaengX
盂	0097	k	于	yú	hju
盄	1165	d	弔	zhāo	tsyew
盅	1007	o	中	zhōng	trhjuwng
盅	1007	o	中	zhōng	drjuwng
盆	0471	s	分	pén	bwon
盇	0642	o	大	hé	hap
盈	0815	a	夃	yíng	yeng
盉	0008	k	禾	hé	hwa
益	0849	a	益	yì	'jiek
盌	0260	-	夗	wǎn	'wanX
盍	0642	n	大	hé	hap
盎	0718	i	央	àng	'angH
盛	0818	i	成	shèng	dzyeng
盛	0818	i	成	shèng	dzyengH
盜	1133	a	盜	dào	dawH
盝	1208	e	?	lù	luwk
盞	0155	f	戔	zhǎn	tsreanX
盟	0760	e	明	méng	mjaeng
盡	0381	a	㶳	jǐn	tsinX
盡	0381	-	㶳	jǐn	dzinX
監	0609	a	䘓	jiān	kaem
監	0609	a	䘓	jiān	kaemH
盤	0182	e	般	pán	ban
盥	0161	a	盥	guàn	kwanH
盥	0161	a	盥	guàn	kwanX
盧	0069	d	𧆣	lú	lu
盨	0133	f	須	xǔ	sjuX
盩	1074	a	𥂱	zhōu	trjuw
盪	0720	n'	湯	dàng	dangX
盪	0720	n'	湯	dàng	thangH
盬	0049	q	古	gǔ	kuX
盭	1241	n	𥃎	lì	lejH
目	1036	a	目	mù	mjuwk
盱	0097	u	亏	xū	xju
盲	0742	q	亡	máng	maeng
直	0919	a	直	zhí	drik
直	0919	a	直	zhí	driH
盷	0391	f	?	tián	hwen
相	0731	a	相	xiāng	sjangH
相	0731	a	相	xiāng	sjang
盻	1241	h	兮	xì	ngejH
盻	1241	h	兮	xì	hejH
盼	0471	x	分	pàn	pheanH
盾	0465	a	盾	dùn	dwonX
盾	0465	a	盾	dùn	zywinX
省	0812	l	生	shěng	sjengX
眂	0590	r	氏	shì	dzyijX
眂	0590	r	氏	shì	dzyijH
眄	0247	b	丏	miǎn	menH
眄	0247	b	丏	miǎn	menX
眇	1158	a	眇	miǎo	mjiewX
眈	0656	j	冘	dān	tomX
眈	0656	j	冘	dān	tom
眉	0567	a	睂	méi	mjɨjX
眉	0567	a	睂	méi	mij
眊	1137	i	毛	mào	mak
眊	1137	i	毛	mào	maewk
眊	1137	i	毛	mào	mawH
看	0142	a	看	kàn	khan
看	0142	a	看	kàn	khanH
眔	0678	a	眔	dà	dop
眕	0453	c	㐱	zhěn	tsyinX
眘	0376	a	?	shèn	dzyenH
眙	0976	a'	台	yí	trhiH
眙	0976	a'	台	yí	dringH
眚	0812	i	生	shěng	srjengX
真	0375	a	眞	zhēn	tsyin
眠	0457	e	民	mián	men
眠	0457	e	民	mián	menX
眡	0590	q	氐	shì	dzyijX
眡	0590	q	氐	shì	dzyijH
眢	0260	f	夗	yuān	'wan
眣	0402	l	失	dié	trhit
眣	0402	l	失	dié	det
眥	0358	s	此	zì	dzjeH
眥	0358	s	此	zì	dzejH
眩	0366	d	玄	xuàn	hwenH
眩	0366	d	玄	xuàn	hwen
眯	0598	d	米	mī	mejX
眲	0981	i	?	nè	nreak
眲	0981	i	?	nè	nyiH
眴	0392	m	旬	xuàn	sywinH
眴	0392	m	旬	xuàn	xwenH
眴	0392	m	旬	xuàn	swin
眶	0739	u	?	kuàng	khjwang
眷	0226	c	𢍏	juàn	kjwenH
眸	1110	c	牟	móu	mjuw
眺	1145	j	兆	tiào	thewH
眼	0416	l	𥃩	yǎn	ngeanX
眼	0416	l	𥃩	yǎn	ngonX
眾	1010	a	眾	zhòng	tsyuwngH
睅	0139	j'	旱	hàn	hwaenX
睆	0257	t	完	huàn	hwaenX
睇	0591	k	弟	dì	thej
睇	0591	k	弟	dì	dejH
睊	0228	i	肙	juàn	kwen
睊	0228	i	肙	juàn	kwenH
睋	0002	l	?	é	nga
睍	0241	g	見	xiàn	henX
睎	0549	g	希	xī	xjɨj
睗	0850	p	易	shì	syek
睘	0256	h	袁	qióng	gjwieng
睘	0256	h	袁	qióng	hwaen
睚	0879	a'	厓	yá	ngeaH
睟	0490	o	?	suì	swijH
睠	0226	b	?	juàn	kjwenH
睡	0031	d	𡍮	shuì	dzyweH
睢	1237	u	隹	suī	xjwij
督	1031	n	叔	dū	towk
睦	1032	i	坴	mù	mjuwk
睨	0873	h	兒	nì	ngejX
睨	0873	h	兒	nì	ngejH
睩	1208	g	彔	lù	luwk
睪	0790	a	𥇡	yì	yek
睫	0636	d	疌	jié	tsjep
睹	0045	c'	者	dǔ	tuX
睽	0605	i	癸	kuí	khwej
瞀	1109	q	敄	mào	muwH
瞀	1109	q	敄	mào	maewk
瞂	0276	j	犮	fá	bjot
瞋	0375	g	眞	chēn	tsyhin
瞍	1097	n	?	sǒu	suwX
瞏	0829	a	袁	qióng	gjwieng
瞏	0829	a	袁	qióng	hwaen
瞑	0841	b	冥	míng	men
瞑	0841	b	冥	míng	menH
瞑	0841	b	冥	míng	meng
瞚	0469	d	寅	shùn	sywinH
瞞	0183	d	㒼	mán	man
瞠	0725	f'	堂	chēng	trhaeng
瞡	0875	b	?	guǐ	kjwie
瞢	0902	d	瞢	méng	mong
瞢	0902	d	瞢	méng	mjuwng
瞬	0469	c	舜	shùn	sywinH
瞭	1151	o	尞	liǎo	lew
瞭	1151	o	尞	liǎo	lewX
瞲	0507	p	?	xù	xwet
瞲	0507	p	?	xù	xwijH
瞳	1188	s	童	tóng	thuwng
瞷	0191	h	閒	jiàn	hean
瞻	0619	c	詹	zhān	tsyem
瞽	0050	g	鼓	gǔ	kuX
瞿	0096	c	䀠	qú	gju
矇	1181	c	蒙	méng	muwng
矉	0389	o	賓	pín	bjin
矍	0778	a	隻	jué	kjwak
矍	0778	a	隻	jué	xjwak
矘	0725	c'	黨	tǎng	thangX
矙	0607	e	?	kàn	khamH
矛	1109	a	矛	máo	muw
矛	1109	a	矛	máo	mjuw
矜	0369	a	今	jīn	gin
矜	0369	a	今	jīn	king
矞	0507	a	矞	yù	ywit
矠	0798	z	㫺	zé	dzreak
矢	0560	a	矢	shǐ	syij
矢	0560	a	矢	shǐ	syijX
矣	0976	l	厶	yǐ	hiX
矤	0560	j	引	shěn	syinX
知	0863	a	矢	zhī	trje
矧	0560	i	引	shěn	syinX
矩	0095	c	巨	jǔ	kjuX
短	0169	a	豆	duǎn	twanX
矯	1138	l	喬	jiǎo	kjewX
矰	0884	g	曾	zēng	tsong
石	0795	a	石	shí	dzyek
矸	0139	i	?	gān	kan
矼	1172	x	工	gāng	kaewng
矼	1172	x	工	gāng	khuwngH
砉	1260	f	?	huò	xwek
砉	1260	f	?	huò	xwaek
研	0239	h	幵	yán	ngen
砠	0046	q	且	jū	tshjo
砥	0590	o	氐	dǐ	tsyijX
砮	0094	d'	奴	nǔ	nuX
砮	0094	d'	奴	nǔ	nu
砰	0825	g	?	pēng	pheang
破	0025	o	皮	pò	phaH
硋	0937	t	?	ài	ngojH
硎	0808	f	?	xíng	heng
硏	0239	g	幵	yán	ngenH
硏	0239	g	幵	yán	ngen
硜	0831	s	巠	kēng	kheang
硩	0287	h	?	chè	trhjet
确	1225	e	角	què	haewk
硯	0241	-	見	yàn	ngenH
硾	0031	h	𡍮	zhuì	drjweH
碎	0490	n	卒	suì	swojH
碑	0874	d	卑	bēi	pje
碞	0673	a	碞	yán	ngeam
碣	0313	q	曷	jié	gjet
碧	0782	s	白	bì	pjaek
碩	0795	e	石	shuò	dzyek
碭	0720	f'	昜	dàng	dangH
確	1117	d	隺	què	khaewk
磊	0545	a	?	lěi	lwojX
磋	0005	j	差	cuō	tsha
磌	0375	h	?	tián	tsyin
磏	0627	m	兼	lián	ljem
磐	0182	g	般	pán	ban
磒	0227	h	員	yǔn	hwinX
磔	0795	j	桀	zhé	traek
磕	0642	v	盇	kē	khaejH
磕	0642	v	盇	kē	khap
磨	0017	f	麻	mó	maH
磨	0017	f	麻	mó	ma
磬	0832	c	殸	qìng	khengH
磯	0547	e	幾	jī	kjɨj
磷	0387	f	?	lín	linH
磽	1164	i	堯	qiāo	khaew
磽	1164	i	堯	qiāo	khewX
磿	0858	i	厤	lì	lek
礙	0956	g	疑	ài	ngojH
礛	0609	d	?	jiān	kaem
礨	0577	k	?	lěi	lwojX
礪	0340	b	厲	lì	ljejH
礫	1125	j	樂	lì	lek
礱	1193	k	龍	lóng	luwng
礴	0771	q	?	bó	bak
示	0553	a	示	shì	zyijH
社	0062	j	土	shè	dzyaeX
礿	1120	g	勺	yuè	yak
祀	0967	d	巳	sì	ziX
祁	0553	i	示	qí	gij
祆	1141	g	天	xiān	'jew
祇	0867	i	氏	qí	tsye
祇	0867	i	氏	qí	gjie
祈	0443	o	斤	qí	gjɨj
祉	0961	k	止	zhǐ	trhiX
祊	0740	j'	方	bēng	paeng
祋	0323	a	礻	duì	twajH
祏	0795	d	石	shí	dzyek
祐	0995	l	右	yòu	hjuwH
祐	0995	l	右	yòu	hjuwX
祓	0276	o	犮	fú	pjojH
祓	0276	o	犮	fú	phjut
祔	0136	j	付	fù	bjuH
祕	0405	m	必	mì	pijH
祖	0046	b'	且	zǔ	tsuX
祗	0590	p	氐	zhī	tsyij
祘	0175	a	祘	suàn	swanH
祚	0806	h	乍	zuò	dzuH
祛	0642	d	?	qū	khjo
祜	0049	y	古	hù	huX
祝	1025	a	祝	zhù	tsyuwH
祝	1025	a	祝	zhù	tsyuwk
神	0385	j	𢑚	shén	zyin
祟	0528	a	出	suì	swijH
祠	0972	h	司	cí	zi
祡	0358	v	此	chái	dzrea
祥	0732	n	羊	xiáng	zjang
祧	1145	k	兆	tiāo	thew
票	1157	b	𤐫	piào	phjiew
祫	0675	n	祫	xiá	heap
祭	0337	a	祭	jì	tsjejH
祭	0337	a	祭	jì	tsreajH
祲	0661	n	㑴	jìn	tsimH
祲	0661	n	㑴	jìn	tsim
祺	0952	y	其	qí	gi
祼	0351	m	果	guàn	kwanH
祿	1208	h	彔	lù	luwk
禀	0668	b	㐭	bǐng	limX
禀	0668	b	㐭	bǐng	pimX
禁	0655	k	林	jìn	kimH
禁	0655	k	林	jìn	kim
禂	1083	y	周	dǎo	tawX
禋	0483	g	𡍯	yīn	'jin
禍	0018	f	咼	huò	hwaX
禎	0834	j	貞	zhēn	trjeng
福	0933	d	畐	fú	pjuwk
禓	0720	g'	昜	yáng	syang
禔	0866	e	是	zhī	tsye
禔	0866	e	是	zhī	dzye
禔	0866	e	是	zhī	dej
禕	0571	l	?	yī	'je
禖	0948	e	某	méi	mwoj
禘	0877	i	帝	dì	dejH
禜	0843	e	營	yǒng	hjwaeng
禜	0843	e	營	yǒng	hjwaengH
禡	0040	f	馬	mà	maeH
禦	0060	p	御	yù	ngjoX
禨	0547	f	?	jī	kjɨjH
禨	0547	f	?	jī	kjɨj
禪	0147	b'	單	chán	dzyenH
禫	0646	g	𪉷	dàn	domX
禬	0321	j	會	guì	kwajH
禬	0321	j	會	guì	hwajH
禮	0597	d	豐	lǐ	lejX
禰	0359	h	爾	mí	nejX
禱	1090	s	壽	dǎo	tawH
禱	1090	s	壽	dǎo	tawX
禳	0730	g	襄	ráng	nyang
禴	1119	g	?	yuè	yak
禹	0099	a	禹	yǔ	hjuX
禺	0124	a	禺	yú	ngju
禺	0124	a	禺	yú	ngjuH
离	0023	a	离	lí	trhje
禽	0651	j	今	qín	gim
禾	0008	a	禾	hé	hwa
禿	1205	a	几	tū	thuwk
秀	1095	a	秂	xiù	sjuwH
私	0557	b	厶	sī	sij
秅	0780	f	乇	chá	drae
秅	0780	f	乇	chá	tuH
秆	0139	j	干	gǎn	kanX
秉	0758	a	秉	bǐng	pjaengX
秋	1092	a	𪚰	qiū	tshjuw
秎	0471	o	?	fèn	bjunH
秏	1137	j	毛	hào	xawH
科	0008	n	禾	kē	khwa
秕	0566	q	比	bǐ	pjijX
秝	0858	a	秝	lì	lek
租	0046	d'	且	zū	tsu
秠	0999	n	丕	pī	phij
秠	0999	n	丕	pī	phjuw
秣	0277	c	末	mò	mat
秦	0380	a	秦	qín	dzin
秩	0402	f	失	zhì	drit
秫	0497	c	秫	shú	zywit
秬	0095	j	巨	jù	gjoX
秭	0554	d	𠂔	zǐ	tsijX
秸	0393	u	?	jiē	keat
移	0003	q	多	yí	yeH
移	0003	q	多	yí	ye
稂	0735	o	良	láng	lang
稅	0324	i	兌	shuì	sywejH
稅	0324	i	兌	shuì	thwajH
稇	0420	f	?	kǔn	khwonX
稊	0591	g	?	tí	dej
程	0835	t	呈	chéng	drjeng
稌	0082	b'	余	tú	duX
稌	0082	b'	余	tú	thu
稌	0082	b'	余	tú	thuX
稍	1149	z	肖	shāo	sraewH
稑	1032	h	坴	lù	ljuwk
稔	0670	d	念	rěn	nyimX
稗	0874	s	卑	bài	beaH
稘	0952	l	其	jī	ki
稙	0919	b	直	zhī	trik
稚	0575	y	屖	zhì	drijH
稛	0484	h	囷	kǔn	kjunH
稟	0668	a	㐭	bǐng	limX
稟	0668	a	㐭	bǐng	pimX
稠	1083	l	周	chóu	drjuw
種	1188	d	重	zhǒng	tsyowngH
種	1188	d	重	zhǒng	tsyowngX
稯	1177	e	㚇	zōng	tsuwng
稰	0090	g	?	xǔ	sjoX
稱	0894	g	爯	chēng	tsyhingH
稱	0894	g	爯	chēng	tsyhing
稷	0922	b	畟	jì	tsik
稸	1018	d	?	xù	xjuwk
稸	1018	d	?	xù	trhjuwk
稹	0375	b	真	zhěn	tsyin
稹	0375	b	真	zhěn	denH
稹	0375	b	真	zhěn	tsyinX
稺	0595	g	屖	zhì	drijH
稻	1078	h	舀	dào	dawX
稼	0032	f	家	jià	kaeH
稽	0552	o	㫖	jī	kej
稾	1129	f	高	gǎo	kawX
稿	1129	-	高	gǎo	kawX
穀	1226	i	𣪊	gǔ	kuwk
穄	0337	e	祭	jì	tsjejH
穅	0746	n	庚	kāng	khang
穆	1035	a	㣎	mù	mjuwk
穈	0442	a	?	méi	mwon
穉	0596	e	屖	zhì	drijH
穋	1069	x	翏	lù	ljuwk
穌	0067	a	魚	sū	su
積	0868	t	𧵩	jī	tsjek
積	0868	t	𧵩	jī	tsjeH
穎	0828	c	頃	yǐng	kwengX
穎	0828	c	頃	yǐng	kjwiengX
穎	0828	c	頃	yǐng	ywengX
穖	0547	g	幾	jǐ	kjɨjX
穗	0533	h	𥝩	suì	zwijH
穛	1148	l	?	zhuō	tsraewk
穜	1188	t	童	zhǒng	duwng
穜	1188	t	童	zhǒng	drjowng
穟	0526	k	遂	suì	zwijH
穠	1005	k	?	nóng	nyowng
穠	1005	k	?	nóng	nrjowng
穡	0926	e	嗇	sè	srik
穢	0346	i	歲	huì	'jwojH
穧	0593	m	齊	jì	dzejH
穧	0593	m	齊	jì	tsejH
穨	0544	b	䝿	tuí	dwoj
穫	0784	h	蒦	huò	hwak
穮	1170	d	麃	biāo	pjew
穰	0730	h	襄	ráng	nyang
穰	0730	h	襄	ráng	nyangX
穱	1121	f	?	zhuō	tsraewk
穴	0409	a	八	xué	hwet
究	0992	o	九	jiū	kjuwH
穸	0796	e	夕	xī	zjek
穹	0901	e	弓	qióng	khjuwng
空	1172	h	工	kōng	khuwng
空	1172	h	工	kōng	khuwngH
空	1172	h	工	kōng	khuwngX
穼	0666	b	?	shēn	syim
穽	0819	h	井	jǐng	dzjengX
穾	1141	j	?	yào	'ewX
穾	1141	j	?	yào	'ewH
穾	1141	j	?	yào	'ew
穿	0232	a	穿	chuān	tsyhwen
窀	0427	k	屯	zhūn	dwon
窀	0427	k	屯	zhūn	trwin
突	0489	a	突	tū	dwot
突	0489	a	突	tū	thwot
窅	1245	a	窅	yǎo	'ewX
窆	0641	c	乏	biǎn	pongH
窆	0641	c	乏	biǎn	pjemH
窈	1115	i	幼	yǎo	'ewX
窌	1114	i	戼	jiào	phaewH
窌	1114	i	戼	jiào	kaewH
窐	0879	f	圭	guī	'wae
窐	0879	f	圭	guī	kwej
窒	0413	h	至	zhì	tet
窒	0413	h	至	zhì	det
窒	0413	h	至	zhì	trit
窔	1166	a'	交	yào	'ewH
窕	1145	q	兆	tiǎo	thew
窕	1145	q	兆	tiǎo	dewX
窖	1039	o	告	jiào	kaewH
窗	1199	-	囱	chuāng	tsrhaewng
窘	0459	l	君	jiǒng	gwinX
窞	0672	i	臽	dàn	domX
窟	0496	q	屈	kū	khwot
窢	0929	m	?	xū	hwik
窢	0929	m	?	xū	xwik
窨	0653	-	音	xūn	'imH
窪	0879	b'	洼	wā	'wae
窬	0125	q	兪	yú	yu
窬	0125	q	兪	yú	duw
窮	1006	h	躳	qióng	gjuwng
窯	1144	c	羔	yáo	yew
窰	1144	b	䍃	yáo	yew
窳	1243	b	㼌	yǔ	yuX
窴	0375	t	眞	tián	denH
窶	0123	o	婁	jù	gjuX
窺	0875	c	規	kuī	khjwie
窻	1199	l	悤	chuāng	tsrhaewng
窾	0162	b	?	kuǎn	khwanX
竀	0833	y	正	chēng	trhjeng
竁	0345	b	毳	cuì	tshjwejH
竁	0345	b	毳	cuì	tsyhwejH
竁	0345	b	毳	cuì	tsyhwenH
竄	0176	a	竄	cuàn	tshwanH
竅	1162	h	敫	qiào	khewH
竆	1006	g	躳	qióng	gjuwng
竇	1023	s	𧸇	dòu	duwH
竊	0309	a	禼	qiè	tshet
立	0694	a	立	lì	lip
竑	0887	i	?	hóng	hweang
竘	0108	z	句	qǔ	khuwX
竘	0108	z	句	qǔ	khjuX
竚	0084	d	宁	zhù	drjoX
竝	0840	a	竝	bìng	bengX
竟	0752	a	竟	jìng	kjaengX
竟	0752	a	竟	jìng	kjaengH
章	0723	a	章	zhāng	tsyang
竢	0976	n	矣	sì	dzriX
竣	0468	q	夋	jùn	tshwin
童	1188	o	重	tóng	duwng
竦	1222	n	束	sǒng	sjowngX
竫	0811	e	爭	jìng	dzjengX
竭	0313	r	曷	jié	gjet
端	0168	d	耑	duān	twan
竱	0231	m	專	zhuǎn	twan
竱	0231	m	專	zhuǎn	tsywenX
競	0754	a	𧫘	jìng	gjaengH
竹	1019	a	竹	zhú	trjuwk
竺	1019	f	竹	zhú	towk
竽	0097	n	亏	yú	hju
竾	0004	v	?	chí	drje
竿	0139	k	干	gān	kan
笄	0586	a	幵	jī	kej
笆	0039	-	巴	bā	bae
笈	0681	o	及	jí	gjep
笏	0503	m	勿	hù	xwot
笑	1150	a	夭	xiào	sjewH
笙	0812	h	生	shēng	sraeng
笞	0976	b'	台	chī	trhi
笠	0694	e	立	lì	lip
笥	0972	g	司	sì	siH
符	0136	m	付	fú	bju
笫	0554	f	𠂔	zǐ	tsrijX
第	0591	e	弟	dì	dejH
笭	0823	l	令	líng	leng
笮	0806	k	乍	zé	tsraek
笯	0094	e'	奴	nú	nuH
笯	0094	e'	奴	nú	nrae
笯	0094	e'	奴	nú	nu
笰	0500	d	?	fú	pjut
笱	0108	e	句	gǒu	kuwX
笲	0220	f	?	fán	bjon
笲	0220	f	?	fán	bjenH
笴	0001	e	?	gǎn	kaX
笴	0001	e	?	gǎn	kanX
筆	0502	d	聿	bǐ	pit
等	0961	i'	寺	děng	tongX
等	0961	i'	寺	děng	tojX
筋	0445	a	筋	jīn	kjɨn
筌	0234	e	全	quán	tshjwen
筍	0392	n	旬	sǔn	swinX
筐	0739	v	匡	kuāng	khjwang
筑	1019	c	巩	zhú	trjuwk
筒	1176	g	同	tǒng	duwng
答	0676	a	合	dá	top
策	0868	l	朿	cè	tsrheak
筠	0391	j	均	yún	hjwin
筤	0735	p	良	láng	lang
筥	0076	j	呂	jǔ	kjoX
筦	0257	r	完	guǎn	kwanX
筩	1185	t	甬	tóng	duwng
筭	0173	a	筭	suàn	swanH
筮	0336	a	𥷂	shì	dzyejH
筰	0806	v	作	zuó	dzak
筲	1149	a'	?	shāo	sraew
筳	0835	k	廷	tíng	deng
筴	0846	a	夾	cè	tsrheak
筵	0203	b	延	yán	yen
箈	0976	q'	?	tái	dojX
箒	1087	e	帚	zhǒu	tsyuwX
箕	0952	f	箕	jī	ki
算	0174	a	算	suàn	swanH
算	0174	a	算	suàn	swanX
箘	0484	b	囷	jùn	khwin
箘	0484	b	囷	jùn	gwinX
箙	0934	g	服	fú	bjuwk
箝	0606	l	拑	qián	gjem
箠	0031	j	𡍮	chuí	tsyweX
管	0157	h	官	guǎn	kwanX
箬	0777	g	若	ruò	nyak
箭	0245	h	𣦃	jiàn	tsjenH
箰	0392	t	?	sǔn	swinX
箱	0731	f	相	xiāng	sjang
箴	0671	n	咸	zhēn	tsyim
箸	0045	j	者	zhù	drjoH
箾	1149	e'	削	shuò	sraewk
箾	1149	e'	削	shuò	sew
節	0399	e	即	jié	tset
節	0399	e	即	jié	dzet
篁	0708	h	皇	huáng	hwang
範	0626	d	笵	fàn	bjomX
篆	0171	g	彖	zhuàn	drjwenX
篇	0246	j	扁	piān	phjien
築	1019	d	筑	zhú	trjuwk
篋	0630	o	匧	qiè	khep
篚	0579	f	匪	fěi	pjɨjX
篝	0109	i	冓	gōu	kuw
篠	1077	u	條	xiǎo	sewX
篡	0174	e	算	cuàn	tsrhwaenH
篤	1019	g	竹	dǔ	towk
篨	0082	c'	除	chú	drjo
篪	0870	c	虒	chí	drje
篲	0527	b	彗	huì	zwijH
篲	0527	b	彗	huì	zjwejH
篳	0407	j	畢	bì	pjit
篴	1022	d	?	dí	dek
篹	0174	c	?	zhuàn	swanX
篾	0311	k	?	miè	met
篿	0231	d	專	tuán	tsywen
簀	0868	q	責	zé	tsreak
簉	1051	e	?	zào	tsrhjuwH
簋	0986	a	簋	guǐ	kwijX
簎	0798	c'	籍	cè	tsrhaek
簑	0355	c	衰	suō	swa
簙	0771	n	博	bó	pak
簚	1260	e	?	mì	mek
簜	0720	o'	湯	dàng	dangX
簝	1151	t	𤊽	liáo	lew
簝	1151	t	𤊽	liáo	law
簞	0147	h	單	dān	tan
簟	0646	j	𪉷	diàn	demX
簠	0102	u	甫	fǔ	pjuX
簠	0102	u	甫	fǔ	pju
簠	0102	u	甫	fǔ	pjuH
簡	0191	d	?	jiǎn	keanX
簣	0540	j	貴	kuì	khweajH
簧	0707	g	黃	huáng	hwang
簨	0433	b	?	sǔn	swinX
簪	0660	g	朁	zān	tsom
簪	0660	g	朁	zān	tsrim
簫	1028	h	肅	xiāo	sew
簬	0766	s'	路	lù	luH
簭	0336	b	𥰰	shì	dzyejH
簳	0140	k	?	gǎn	kanX
簵	0766	x'	?	dù	luH
簸	0025	n	皮	bǒ	paX
簸	0025	n	皮	bǒ	paH
簾	0627	-	廉	lián	ljem
簿	0771	o	溥	bù	buX
籃	0609	-	監	lán	lam
籊	1124	d	?	tì	dek
籊	1124	d	?	tì	thek
籌	1090	m	壽	chóu	drjuw
籍	0798	a'	𦔡	jí	dzjek
籔	1207	b	數	sǒu	srjuX
籔	1207	b	數	sǒu	suwk
籚	0069	n	盧	lú	lu
籟	0272	g	賴	lài	lajH
籠	1193	l	龍	lóng	luwngX
籠	1193	l	龍	lóng	luwng
籠	1193	l	龍	lóng	ljowng
籥	1119	c	龠	yuè	yak
籧	0803	j	遽	qú	gjo
籧	0803	j	遽	qú	kjoX
籩	0224	f	?	biān	pjien
籬	0023	g	離	lí	lje
籲	1119	h	籥	yù	yuH
米	0598	a	米	mǐ	mejX
籹	0094	f	女	nǚ	nrjoX
粃	0566	r	比	bǐ	pjijX
粉	0471	d	分	fěn	pjunX
粒	0694	f	立	lì	lip
粔	0095	n	巨	jù	gjoX
粕	0782	p	白	pò	phak
粗	0046	h'	且	cū	tshu
粗	0046	h'	且	cū	dzuX
粟	1221	a	??	sù	sjowk
粢	0555	g	次	zī	dzejH
粢	0555	g	次	zī	tsij
粥	1024	a	粥	zhōu	tsyuwk
粦	0387	a	㷠	lín	linH
粦	0387	a	㷠	lín	lin
粮	0735	e	量	liáng	ljang
粱	0738	b	梁	liáng	ljang
粲	0154	b	𣦼	càn	tshanH
粵	0305	a	粵	yuè	hjwot
粹	0490	p	卒	cuì	swijH
粺	0874	t	卑	bài	beaH
粻	0721	i	長	zhāng	trjang
粼	0387	c	㷠	lín	linH
粼	0387	c	㷠	lín	lin
精	0812	g'	靑	jīng	tsjeng
糂	0658	o	甚	sǎn	somX
糅	1105	f	柔	róu	nrjuwH
糈	0090	h	胥	xǔ	srjoX
糊	0049	-	胡	hú	hu
糔	1112	h	?	xiǔ	sjuwX
糗	1088	d	臭	qiǔ	khjuwX
糜	0017	g	麻	mí	mje
糝	0647	f	參	sǎn	somX
糞	0472	a	??	fèn	pjunH
糟	1053	g	𣍘	zāo	tsaw
糠	0746	o	康	kāng	khang
糦	0955	l	喜	xī	tsyhiH
糧	0737	d	量	liáng	ljang
糱	0289	i	辥	niè	ngjet
糲	0340	g	厲	lì	lat
糲	0340	g	厲	lì	lajH
糲	0340	g	厲	lì	ljejH
糴	1124	c	䊮	dí	dek
糶	1124	l	䊮	tiào	thewH
糺	1064	c	丩	jiū	kjiwX
系	0876	a	系	xì	hejH
糾	1064	b	丩	jiū	kjiwX
糾	1064	b	丩	jiū	gjiewX
紀	0953	i	己	jì	kiX
紃	0462	d	川	xún	zwin
紃	0462	d	川	xún	zywin
約	1120	m	勺	yuē	'jiewH
約	1120	m	勺	yuē	'jak
紅	1172	i	工	hóng	huwng
紆	0097	y	于	yū	'ju
紈	0163	c	丸	wán	hwan
紉	0456	h	刃	rèn	nrin
紉	0456	h	刃	rèn	nyin
紊	0475	j	文	wěn	mjunH
納	0695	h	內	nà	nop
紐	1076	g	丑	niǔ	nrjuwX
紑	0999	g	不	fóu	phjuwX
紑	0999	g	不	fóu	phjuw
紒	0327	k	?	jì	kejH
紓	0083	j	予	shū	syo
紓	0083	j	予	shū	zyoX
純	0427	n	屯	chún	dzywin
純	0427	n	屯	chún	tsywinH
純	0427	n	屯	chún	dwon
純	0427	n	屯	chún	tsywinX
純	0427	n	屯	chún	tsi
純	0427	n	屯	chún	dwonX
紕	0566	t	比	pī	bjijH
紕	0566	t	比	pī	phjij
紕	0566	t	比	pī	bjie
紕	0566	t	比	pī	phjie
紕	0566	t	比	pī	pej
紖	0371	d	引	zhèn	drinX
紘	0887	j	厷	hóng	hweang
紙	0867	-	氏	zhǐ	tsyeX
級	0681	i	及	jí	kip
紛	0471	h	分	fēn	phjun
紝	0667	l	壬	rèn	nyim
紝	0667	l	壬	rèn	nrim
紞	0656	k	冘	dǎn	tamX
紟	0651	f	今	jīn	gimH
素	0068	a	𠂹	sù	suH
紡	0740	r	方	fǎng	phjangX
索	0770	a	索	suǒ	sraek
索	0770	a	索	suǒ	sak
紫	0358	j	此	zǐ	tsjeX
累	0577	r	畾	lèi	ljweH
累	0577	r	畾	lèi	ljweX
累	0577	r	畾	lèi	lwaX
細	1241	l	囟	xì	sejH
紱	0276	k	?	fú	pjut
紲	0339	i	世	xiè	sjet
紳	0385	h	申	shēn	syin
紵	0084	e	宁	zhù	drjoX
紹	1131	z	召	shào	dzyewX
紺	0606	k	甘	gàn	kom
紼	0500	e	弗	fú	pjut
紽	0004	j	?	tuó	da
紾	0453	e	㐱	zhěn	trjenX
紾	0453	e	㐱	zhěn	dzyenX
