CHARACTER	KARLGREN	KARLGRENCODE	XIESHENG	PINYIN	MCH
主	0129	a	丶	zhǔ	tsyuX
丼	0819	e	井	jǐng	tsjengX
乂	0347	a	乂	yì	ngjojH
乃	0945	a	乃	nǎi	nojX
久	0933	a	久	jiǔ	kjuwk
乇	0780	a	乇	tuō	traek
之	0962	a	??	zhī	tsyi
乍	0806	a	𠆦	zhà	dzraeH
乎	0055	a	兮	hū	hu
乏	0641	a	??	fá	bjop
乖	1240	h	乖	guāi	kweajH
乘	0895	a	椉	chéng	zying
乘	0895	a	椉	chéng	zyingH
乙	0505	a	乙	yǐ	'it
九	0992	a	九	jiǔ	kjuwX
乞	0517	f	气	qǐ	khjɨt
也	0004	g	也	yě	yaeX
乳	0135	a	孚	rǔ	nyuX
乾	0140	c	倝	gān	gjen
乾	0140	c	倝	gān	kan
亂	0180	c	亂	luàn	lwanH
予	0083	a	予	yǔ	yo
予	0083	a	予	yǔ	yoX
事	0971	a	事	shì	dzriH
二	0564	a	二	èr	nyijH
于	0097	a	于	yú	hju
云	0460	a	云	yún	hjun
互	0054	a	互	hù	huH
五	0058	a	𠄡	wǔ	nguX
井	0819	a	井	jǐng	tsjengX
亘	0164	a	𠄢	gèn	kongH
亘	0164	a	𠄢	gèn	hwan
亘	0164	a	𠄢	gèn	sjwen
亙	0881	a	?	gèn	kongH
些	1236	a	此	xiē	saH
亞	0805	a	亞	yà	'aeH
亟	0910	a	亟	jí	kik
亟	0910	a	亟	jí	khiH
亡	0742	a	兦	wáng	mjang
亢	0698	a	亢	kàng	khangH
亢	0698	a	亢	kàng	kang
交	1166	a	交	jiāo	kaew
亥	0937	a	亥	hài	hojX
亦	0800	a	亦	yì	yek
亨	0716	b	??	hēng	phaeng
亨	0716	b	??	hēng	xaeng
亨	0716	b	??	hēng	xjangX
享	0716	a	𦎧	xiǎng	xaeng
京	0755	a	𢂋	jīng	kjaeng
亭	0833	h	丁	tíng	deng
亮	0755	j	亮	liàng	ljangH
亳	0773	a	乇	bó	bak
亶	0148	a	旦	dǎn	tanX
亹	0585	a	?	mén	mwon
人	0388	a	人	rén	nyin
什	0686	e	十	shén	dzyip
仁	0388	f	仁	rén	nyin
仂	0928	c	扐	lè	lok
仂	0928	c	扐	lè	lik
仄	0924	d	夨	zè	tsrik
仆	1210	g	卜	pū	phuwH
仆	1210	g	卜	pū	phjuwH
仆	1210	g	卜	pū	phjuH
仆	1210	g	卜	pū	bok
仇	0992	p	九	chóu	gjuw
今	0651	a	今	jīn	kim
介	0327	a	介	jiè	keat
介	0327	a	介	jiè	keajH
仍	0945	e	乃	réng	nying
从	1191	a	从	cóng	dzjowng
仔	0964	k	子	zǐ	tsi
仔	0964	k	子	zǐ	tsiX
仕	0970	d	士	shì	dzriX
他	0004	c'	它	tā	tha
付	0136	a	父	fù	pjuH
仙	0193	f	山	xiān	sjen
仝	0234	b	工	tóng	dzjwen
仞	0456	b	刃	rèn	nyinH
仡	0517	m	气	gē	ngjɨt
仡	0517	m	气	gē	xjɨt
代	0918	i	弋	dài	dojH
令	0823	a	令	lìng	ljengH
令	0823	a	令	lìng	ljeng
以	0976	b	㠯	yǐ	yiX
仰	0699	c	卬	yǎng	ngjangX
仲	1007	f	中	zhòng	drjuwngH
仳	0566	s	比	pǐ	phjijX
仳	0566	s	比	pǐ	bjij
仳	0566	s	比	pǐ	bijX
仵	0060	f	?	wǔ	nguX
仵	0060	f	?	wǔ	nguH
价	0327	d	介	jià	keajH
任	0667	f	壬	rèn	nyimH
份	0471	u	分	fèn	pin
仿	0740	v	方	fǎng	phjangX
企	0862	a	企	qǐ	khjieX
企	0862	a	企	qǐ	khjieH
伉	0698	c	亢	kàng	khangH
伊	0604	a	尹	yī	'jij
伍	0058	e	五	wǔ	nguX
伎	0864	j	支	jì	gjeX
伎	0864	j	支	jì	gjie
伏	0935	a	伏	fú	bjuwH
伏	0935	a	伏	fú	bjuwk
伐	0307	a	伐	fá	bjot
休	1070	a	休	xiū	xjuw
伯	0782	i	白	bó	paek
伴	0181	c	半	bàn	phanH
伴	0181	c	半	bàn	banX
伶	0823	g	令	líng	leng
伸	0385	f	申	shēn	syin
伺	0972	f	司	cì	si
伺	0972	f	司	cì	siH
伻	0825	e	?	bēng	peang
似	0976	h	以	shì	ziX
伽	0015	-	加	jiā	gja
伾	0999	l	丕	pī	phij
佁	0976	t	台	yǐ	trhiH
佁	0976	t	台	yǐ	yiX
佃	0362	d	田	diàn	den
佃	0362	d	田	diàn	denH
但	0149	e	旦	dàn	danX
佇	0084	c	宁	zhù	drjoX
佌	0358	c	?	cǐ	tshjeX
位	0539	a	位	wèi	hwijH
低	0590	e	氐	dī	tej
住	0129	g	主	zhù	drjuH
佐	0005	e	左	zuǒ	tsaH
佑	0995	k	右	yòu	hjuwH
佒	0718	c	?	yǎng	'jangX
佒	0718	c	?	yǎng	'jangH
佔	0618	f	?	zhàn	trhjem
何	0001	f	可	hé	haX
何	0001	f	可	hé	ha
佗	0004	h	它	tuó	thaH
佗	0004	h	它	tuó	da
余	0082	a	舍	yú	yo
佚	0402	b	失	yì	yit
佛	0500	l	弗	fú	bjut
作	0806	l	乍	zuò	tsak
佞	0838	a	仁	nìng	nengH
佩	0951	a	佩	pèi	bwojH
佯	0732	e	羊	yáng	yang
佳	0879	n	圭	jiā	kea
佴	0981	f	耳	èr	nyiH
併	0824	d	幷	bìng	pjiengH
併	0824	d	幷	bìng	bengX
佶	0393	k	吉	jí	git
佷	0416	d	?	hěn	honX
佸	0302	l	昏	huó	hwat
佹	0029	c	?	guǐ	kjweX
佻	1145	n	兆	tiāo	thew
佻	1145	n	兆	tiāo	dewX
佻	1145	n	兆	tiāo	dew
佼	1166	e	交	jiǎo	kaewX
佽	0555	c	次	cì	tshijH
佾	0397	a	䏌	yì	yet
使	0975	n	叓	shǐ	sriX
使	0975	n	叓	shǐ	sriH
侀	0808	e	?	xíng	heng
侁	0478	k	先	shēn	srin
侃	0141	a	𠈉	kǎn	khanX
侃	0141	a	𠈉	kǎn	khanH
侅	0937	j	亥	gāi	koj
侅	0937	j	亥	gāi	ngojH
來	0944	a	來	lái	loj
侇	0551	d	?	yí	yij
侈	0003	i	多	chǐ	tsyheX
侊	0706	h	光	guāng	kwaeng
侊	0706	h	光	guāng	kwang
例	0291	h	𠛱	lì	ljejH
侌	0651	x	今	yīn	'im
侍	0961	x	寺	shì	dzyiH
侎	0598	i	米	mǐ	mjieX
侏	0128	d	朱	zhū	tsyu
侐	0930	b	血	xù	xwik
侐	0930	b	血	xù	xwijH
侑	0995	q	有	yòu	hjuwH
侔	1110	e	牟	móu	muw
侔	1110	e	牟	móu	mjuw
侖	0470	a	侖	lún	lwin
侗	1176	j	同	dòng	duwng
侗	1176	j	同	dòng	duwngX
侗	1176	j	同	dòng	thuwng
侗	1176	j	同	dòng	thuwngH
侘	0780	i	宅	chà	trhaeH
侙	0918	m	式	chī	trhik
侚	0392	h	旬	xùn	zwinH
供	1182	f	共	gōng	kjowngH
供	1182	f	共	gōng	kjowng
侜	1084	f	舟	zhōu	trjuw
依	0550	f	衣	yī	'jɨjX
依	0550	f	衣	yī	'jɨj
侮	0138	a	毎	wǔ	mjuX
侯	0113	a	矦	hóu	huw
侲	0455	n	辰	zhèn	tsyinH
侵	0661	c	㑴	qīn	tshim
侶	0076	d	呂	lǚ	ljoX
便	0221	a	𠊳	biàn	bjienH
便	0221	a	𠊳	biàn	bjienX
便	0221	a	𠊳	biàn	bjien
俁	0059	f	吳	yǔ	ngjuX
係	0876	c	系	xì	kejH
促	1219	d	足	cù	tshjowk
俄	0002	h	我	é	nga
俅	1066	n	求	qiú	gjuw
俇	0739	y	𤝵	guàng	gjwangX
俊	0468	t	夋	jùn	tswinH
俍	0735	f	?	liáng	langH
俍	0735	f	?	liáng	ljang
俎	0046	v	俎	zǔ	tsrjoX
俏	1149	p	?	qiào	tshjewH
俑	1185	j	甬	yǒng	yowngX
俓	0831	v	?	jìng	ngeang
俔	0241	f	見	qiàn	henX
俔	0241	f	見	qiàn	khenH
俗	1220	a	谷	sú	zjowk
俘	1233	d	孚	fú	phju
俛	0222	b	免	fǔ	mjenX
保	1057	a	𤓽	bǎo	pawX
俞	0125	a	兪	yú	yu
俟	0976	m	矣	qí	zriX
俟	0976	m	矣	qí	dzriX
俠	0630	k	夾	xiá	hep
信	0384	a	信	xìn	sinH
修	1077	d	攸	xiū	sjuw
俯	0136	r	府	fǔ	pjuX
俱	0121	d	具	jù	kju
俳	0579	v	非	pái	beaj
俴	0155	l	戔	jiàn	dzjenX
俶	1031	h	叔	chù	tsyhuwk
俸	1197	c'	奉	fèng	bjowngH
俾	0874	c	卑	bǐ	pjieX
倀	0721	k	長	chāng	trhaeng
倀	0721	k	長	chāng	trhjang
倅	0490	d	卒	cuì	tshwojH
倉	0703	a	倉	cāng	tshang
個	0049	f'	固	gè	kaH
倌	0157	l	官	guān	kwaenH
倌	0157	l	官	guān	kwan
倍	0999	c'	㕻	bèi	bwojX
倏	1077	p	攸	shū	dzyuwk
倒	1132	c	到	dào	tawH
倒	1132	c	到	dào	tawX
倓	0617	m	炎	tán	dam
倓	0617	m	炎	tán	damH
倔	0496	r	屈	jué	gjut
倖	0810	b	幸	xìng	heangX
倗	0886	f	朋	péng	bong
倘	0725	k	?	tǎng	thangX
倘	0725	k	?	tǎng	thang
倘	0725	k	?	tǎng	tsyhangX
候	0113	e	矦	hòu	huwH
倚	0001	f'	奇	yǐ	'jeX
倛	0952	p	?	qī	khi
倜	1083	z	?	tì	thek
倝	0140	a	倝	gàn	kanH
倞	0755	i	京	jìng	ljangH
借	0798	u	㫺	jiè	tsjaeH
借	0798	u	㫺	jiè	tsjek
倡	0724	c	昌	chàng	tsyhangH
倦	0226	i	卷	juàn	gjwenH
倨	0049	n'	居	jù	kjoH
倩	1250	c	靑	qiàn	tshenH
倪	0873	f	兒	ní	ngej
倫	0470	c	侖	lún	lwin
倬	1126	b	卓	zhuō	traewk
倭	0357	b	委	wō	'jwe
倮	0351	g	?	luǒ	lwaX
值	0919	h	?	zhí	driH
偁	0894	d	爯	chēng	tsyhing
偃	0253	g	匽	yǎn	'jonX
偄	0238	g	偄	ruǎn	nwanH
偅	1188	b	?	zhòng	tsyowngH
假	0033	c	叚	jiǎ	kaeX
偈	0313	p	曷	jì	kjot
偉	0571	f	韋	wěi	hjwɨjX
偊	0099	d	?	yǔ	hjuX
偋	0824	g	屛	bìng	bjiengH
偍	0866	m	?	tí	dej
偎	0573	e	?	wēi	'woj
偏	0246	h	扁	piān	phjien
偓	1204	c	屋	wò	'aewk
偕	0599	b	皆	xié	keaj
停	0833	i	亭	tíng	deng
偝	0909	f	?	bèi	bwojH
偞	0633	m	?	xiè	yep
偟	0708	e	?	huáng	hwang
健	0249	g	建	jiàn	gjonH
偩	1000	b	?	fù	bjuwX
偪	0933	n	?	bī	pik
偪	0933	n	?	bī	pjuwk
偫	0961	k'	偫	zhì	driX
偭	0223	b	面	miǎn	mjienX
偯	0550	j	?	yǐ	'jɨjX
偲	0973	f	思	cāi	si
側	0906	c	則	cè	tsrik
偵	0834	k	貞	zhēn	trhjeng
偵	0834	k	貞	zhēn	trjeng
偵	0834	k	貞	zhēn	trhjengH
偶	0124	n	禺	ǒu	nguwX
偶	0124	n	禺	ǒu	nguwH
偷	0125	u	兪	tōu	thuw
傀	0569	d	鬼	guī	kwoj
傁	1097	m	?	sǒu	suwX
傅	0102	u'	尃	fù	bjuH
傅	0102	u'	尃	fù	pjuH
傍	0740	m'	旁	bàng	bangH
傍	0740	m'	旁	bàng	bang
傎	0375	j	?	diān	ten
傑	0284	b	桀	jié	gjet
傓	0212	b	扇	shàn	syenH
備	0984	d	𤰈	bèi	bijH
傚	1166	u	效	xiào	haewH
傜	1144	d	?	yáo	yew
傞	0005	k	差	suō	tsha
傞	0005	k	差	suō	sa
催	0575	j'	崔	cuī	tshwoj
傭	1185	y	庸	yōng	trhjowng
傭	1185	y	庸	yōng	yowng
傮	1053	f	𣍘	zāo	tsaw
傰	0886	g	?	bēng	bong
傲	1130	d	敖	ào	ngaw
傲	1130	d	敖	ào	ngawH
傳	0231	f	專	chuán	drjwen
傳	0231	f	專	chuán	trjwenH
傳	0231	f	專	chuán	drjwenH
傴	0122	n	區	yǔ	'juX
傷	0720	j'	𥏫	shāng	syang
傺	0337	g	?	chì	trhjejH
傾	0828	b	頃	qīng	khjwieng
僂	0123	b	婁	lóu	luw
僂	0123	b	婁	lóu	ljuX
僄	1157	f	𤐫	piào	phjiew
僄	1157	f	𤐫	piào	phjiewH
僅	0480	m	堇	jǐn	ginH
僇	1069	u	翏	lù	ljuwk
僈	0266	g	?	mán	maenH
僉	0613	a	僉	qiān	tshjem
僊	0206	b	𠨧	xiān	sjen
僎	0433	d	㢲	zhuàn	tswin
像	0728	e	象	xiàng	zjangX
僑	1138	c	喬	qiáo	gjew
僓	0540	o	貴	tuǐ	xweajH
僔	0430	j	尊	zǔn	tswonX
僕	1211	b	菐	pú	phuwk
僕	1211	b	菐	pú	buwk
僕	1211	b	菐	pú	bowk
僚	1151	h	𤊽	liáo	lew
僚	1151	h	𤊽	liáo	lewX
僛	0952	f'	欺	qī	khi
僝	0208	c	?	chán	dzreanX
僝	0208	c	?	chán	dzrjwenH
僞	0027	k	爲	wěi	ngjweH
僤	0147	e	單	dàn	tanX
僥	1164	b	堯	jiǎo	kewX
僥	1164	b	堯	jiǎo	ngew
僧	0884	-	曾	sēng	song
僨	0437	h	賁	fèn	pjun
僨	0437	h	賁	fèn	pjunH
僩	0191	g	閒	xiàn	heanX
僪	0507	i	?	jú	gjwit
僬	1148	c	?	jiāo	tsjewH
僬	1148	c	?	jiāo	dzjew
僭	0660	l	朁	jiàn	tsemH
僮	1188	r	童	tóng	duwng
僵	0710	c	畺	jiāng	gjang
僵	0710	c	畺	jiāng	kjang
價	0038	c	賈	jià	kaeH
僻	0853	i	辟	pì	phjiek
僾	0508	d	愛	ài	'ojH
僾	0508	d	愛	ài	'jɨjX
儀	0002	u	義	yí	ngje
儁	0235	d	雋	jùn	tswinH
儃	0148	c	亶	chán	thanX
儃	0148	c	亶	chán	dzyen
億	0957	e	意	yì	'ik
儆	0813	h	敬	jǐng	gjaeng
儆	0813	h	敬	jǐng	gjaengH
儆	0813	h	敬	jǐng	kjiengX
儆	0813	h	敬	jǐng	kjaengX
儇	0256	z	瞏	xuān	xjwien
儉	0613	e	僉	jiǎn	gjemX
儋	0619	h	詹	dān	tam
儋	0619	h	詹	dān	tamH
儐	0389	g	賓	bīn	pjinH
儑	0644	a	?	án	ngom
儒	0134	c	需	rú	nyu
儔	1090	k	𠷎	chóu	drjuw
儕	0593	z	齊	chái	dzreaj
儗	0956	b	疑	nǐ	ngiX
儛	0103	h	?	wǔ	mjuX
償	0725	y	賞	cháng	dzyangH
償	0725	y	賞	cháng	dzyang
儠	0637	c	巤	liè	ljep
儡	0577	j	畾	lěi	lwoj
儡	0577	j	畾	lěi	lwojX
儢	0069	t	?	lǚ	ljoX
儥	1023	c	𧶠	yù	yuwk
儦	1170	b	麃	biāo	pjew
優	1071	d	憂	yōu	'juw
儲	0045	l'	諸	chǔ	drjo
儳	0612	c	毚	chán	tsrhaemH
儳	0612	c	毚	chán	dzreamX
儳	0612	c	毚	chán	dzreamH
儳	0612	c	毚	chán	dzraem
儵	1077	o	攸	shū	dzyuwk
儷	0878	c	麗	lì	lejH
儺	0152	k	難	nuó	naX
儺	0152	k	難	nuó	na
儻	0725	z	黨	tǎng	thangX
儼	0607	k	嚴	yǎn	ngjaemX
儽	0577	p	?	léi	lwojH
兀	0487	a	兀	wù	ngwot
允	0468	a	㠯	yǔn	ywinX
元	0257	a	元	yuán	ngjwon
兄	0765	a	兄	xiōng	xjwaeng
充	1011	a	育	chōng	tsyhuwng
兆	1145	a	兆	zhào	drjewX
兇	1183	b	凶	xiōng	xjowng
先	0478	a	先	xiān	senH
先	0478	a	先	xiān	sen
光	0706	a	灮	guāng	kwang
克	0903	a	克	kè	khok
兌	0324	a	㕣	duì	thwajH
兌	0324	a	㕣	duì	dwajH
免	0222	a	免	miǎn	mjenX
免	0222	a	免	miǎn	mjunH
兒	0873	a	兒	ér	nye
兓	0660	a	兓	jīn	tsim
兔	0063	a	兔	tù	thuH
兕	0556	a	兕	sì	zijX
兗	0229	d	?	yǎn	ywenX
兜	0117	a	兜	dōu	tuw
兢	0888	a	兢	jīng	ging
兢	0888	a	兢	jīng	king
入	0695	a	入	rù	nyip
內	0695	e	入	nèi	nwojH
內	0695	e	入	nèi	nop
全	0234	a	㒰	quán	dzjwen
兩	0736	a	兩	liǎng	ljangX
兩	0736	a	兩	liǎng	ljangH
八	0281	a	八	bā	peat
公	1173	a	公	gōng	kuwng
六	1032	a	六	liù	ljuwk
兮	1241	d	兮	xī	hej
共	1182	c	共	gòng	gjowngH
兵	0759	a	𠦛	bīng	pjaeng
其	0952	a	?	qí	ki
其	0952	a	?	qí	kiH
其	0952	a	?	qí	gi
具	0121	a	𥃲	jù	gjuH
典	0476	a	典	diǎn	tenX
兼	0627	a	?	jiān	kemH
兼	0627	a	?	jiān	kem
冀	0603	a	冀	jì	kijH
冄	0622	a	冄	rǎn	nyemX
冉	0622	b	冉	rǎn	nyemX
冋	0842	a	冋	jiōng	kweng
册	0845	a	册	cè	tsrheak
再	0941	a	再	zài	tsojH
冑	1079	i	由	zhòu	drjuwH
冒	1062	a	冃	mào	mok
冒	1062	a	冃	mào	mawH
冓	0109	a	冓	gòu	kuwH
冔	0097	d'	?	xǔ	xjuX
冕	0222	d	免	miǎn	mjenX
冘	0656	a	冘	yín	yim
冞	0598	k	?	mí	mjie
冠	0160	a	元	guān	kwan
